MAJOR U.S. OIL DISCOVERY
0 .03 0 1
PRESIDENT WANTS ADDITIONAL BUDGET CUTS
0 -.01 0 1
MASSIVE CORPORATE TAX CUT PASSES SENATE BY ONE VOTE: PUBLIC SURPRISED
0 .05 0 1
HIKE IN PERSONAL INCOME TAXES PLANNED
0 -.03 0 1
FROST HITS SOUTHEAST
0 -.02 0 1
WORKER UNREST CUTS INDUSTRY OUTPUT
0 -.02 0 1
NATIONWIDE STRIKE THREAT
0 -.03 0 1
WORKER PRODUCTIVITY FALLS
0 -.01 0 1
FIRMS PLAN INCREASED INVESTMENT
0 .03 0 1
BUSINESS CONFIDENCE REPORTED TO FALL
0 -.01 0 1
STEEL ORDERS REPORTED OFF
-.01 0 0 1
FED TO CUT MONEY SUPPLY GROWTH
-.03 0 0 1
GOVERNMENT DEFICIT DROPS
.03 0 0 1
CONSUMER PRICES LEVEL OFF, TREASURY SURPRISED!
.02 0 0 1
HUGE TREASURY BORROWING THIS QUARTER
-.02 0 0 1
REPUBLICANS DECRY "EXCESSIVE MONEY PRINTING"
-.01 0 0 1
BANKS PREDICT DROP IN MORTGAGE RATES
.01 0 0 1
MONEY SUPPLY GROWS SLOWER THAN EXPECTED -- CATCH UP EXPECTED SOON
.02 0 0 1
CONGRESS DEADLOCKED ON TAX BILL.
0 0 -.01 1
DEMOCRATS LIKELY TO WIN WHITE HOUSE: POLL
0 0 .01 1
REPUBLICANS LEAD IN HOUSE AND GUBERNATORIAL RACES AS ELECTION APPROACHES
0 0 -.01 1
SENATE LOCKED IN FILIBUSTER
0 0 -.02 1
CABINET SHAKEOUT RUMORED
0 0 -.01 1
UNREST IN LATIN AMERICA
0 0 -.03 1
FREE MARKET ECONOMIC PLAN GAINS BIPARTISAN SUPPORT
0 0 .03 1
U.S. ALLIES QUESTION OUR DEPENDABILITY
0 0 -.01 1
POLITICAL TENSION IN ASIA
0 0 -.02 1
POLL FINDS SUPPORT FOR MORE DEFENSE SPENDING
0 0 -.02 1
PUBLIC WANTS TO CUT MILITARY SPENDING: NEW REPORT
0 0 .01 1
WAR THREAT IN MIDDLE EAST
0 0 -.02 1
